nome,jogo,infantil,yt_subscribers,yt_n_posts,yt_delta_medio,yt_delta_desvio,yt_score_medio,tw_followers,tw_n_posts,tw_delta_medio,tw_delta_desvio,tw_score_medio,ratio_delta,perfil,flow
Core,Variado,True,3290000,90,0.862360,0.265752,0.024934,,,,,,,yt-only,
Cellbit,Variado,False,2970000,90,3.201195,10.371529,0.094947,3594260,90,1.797357,4.579097,0.042828,1.781057,biplataforma,0.397135
Geleia,Minecraft,True,10700000,90,1.730500,1.604339,0.021043,34773,5,2.267743,0.505970,0.129104,0.763093,biplataforma,0.084034
FEURIPE,Minecraft,True,3380000,90,1.498522,1.795509,0.062405,67994,6,10.031708,18.063814,0.027431,0.149378,biplataforma,0.372453
Jazzghost,Variado,True,23700000,90,1.190822,0.464585,0.075778,,,,,,,yt-only,
Julia MineGirl,Roblox,True,12400000,90,7.078659,4.355962,0.186110,,,,,,,yt-only,
LipaoBlox,Roblox,True,162000,90,4.977860,8.669449,1.106078,,,,,,,yt-only,
LipaoGamer,Variado,False,13800000,90,0.651682,0.398632,0.008860,,,,,,,yt-only,
Lingonz,Minecraft,True,2390000,90,11.697139,17.039428,0.365402,58671,9,6.392017,8.952220,0.204398,1.829961,biplataforma,0.479327
Canal Clash War,Roblox,True,14900000,90,0.831963,0.328042,0.025974,,,,,,,yt-only,
MelzinhaMel Games,Variado,True,1790000,90,2.035347,1.617140,0.078689,,,,,,,yt-only,
Mendrake,Minecraft,True,2360000,90,11.564373,10.190483,0.792294,,,,,,,yt-only,
malena010102,Minecraft,True,6000000,90,0.976830,1.067497,0.001249,126393,1,,,0.705371,,biplataforma,
Nait,Minecraft,True,1480000,90,12.304314,11.211428,0.669174,,,,,,,yt-only,
MoonKase,Minecraft,True,8540000,90,0.643713,0.326103,0.002231,243974,39,1.447446,1.389431,0.043038,0.444723,biplataforma,0.021254
Problems,Minecraft,True,12100000,90,0.418065,0.288801,0.073808,,,,,,,yt-only,
PAULINHO O LOKO,GTA,False,7490000,90,1.562070,0.729319,0.099684,3688405,28,1.592354,1.427993,0.057835,0.980982,biplataforma,0.892802
Amy Scarlet,Roblox,True,7580000,90,1.111295,0.702681,0.045397,,,,,,,yt-only,
Alanzoka,Variado,False,9100000,90,0.606850,0.307294,0.034383,8019437,90,1.662894,1.364941,0.030003,0.364936,biplataforma,0.446973
Robin Hood Gamer,Minecraft,True,22500000,90,4.751715,3.036562,0.026895,5985,2,38.003715,0.000000,0.249206,0.125033,biplataforma,0.036708
Bagi,Minecraft,True,278000,90,0.842621,0.832202,0.061884,1084353,28,2.111908,2.710383,0.046818,0.398986,biplataforma,0.526508
BRKsEDU,Variado,False,9930000,90,1.552051,2.068370,0.011260,,,,,,,yt-only,
Davi,Minecraft,True,2790000,90,19.373627,15.600111,0.317409,,,,,,,yt-only,
Baiano,LOL,False,344000,90,0.434346,0.439885,0.140961,1064026,90,0.488372,0.245058,0.023309,0.889374,biplataforma,0.233468
Games EduUu,Variado,False,12600000,90,10.596800,4.575322,0.129334,,,,,,,yt-only,
Gameplayrj,Variado,False,8500000,90,0.338638,0.340286,0.022731,1347787,19,2.709139,3.636244,0.007817,0.124998,biplataforma,0.287594
Fallen,CS2,False,1520000,90,1.187656,1.931272,0.019847,1534425,4,9.734865,15.413372,0.044538,0.122000,biplataforma,0.151324
Gaules,CS2,False,1250000,90,0.825995,0.697317,0.132437,4326222,72,0.826214,0.630163,0.011926,0.999736,biplataforma,0.141170
NOBRU,Free Fire,False,3390000,90,2.011198,2.388940,0.150221,,,,,,,yt-only,
Saiko,Variado,False,2660000,90,5.415730,4.723478,0.255045,,,,,,,yt-only,
LOUD Coringa,Variado,False,7750000,90,0.944250,1.274201,0.022039,7129088,53,1.118715,1.009550,0.035127,0.844049,biplataforma,0.346141
Viniccius13,Minecraft,True,6430000,90,19.985951,18.187323,0.394368,,,,,,,yt-only,
blackoutz,Fortnite,False,1230000,90,6.298427,6.000120,0.388451,1944222,35,1.682448,1.061398,0.028680,3.743609,biplataforma,0.030926
Yoda,LOL,False,1240000,90,0.886535,1.298496,0.046971,2459732,90,1.914157,1.960872,0.009841,0.463147,biplataforma,0.213772
Sacy,Valorant,False,247000,90,0.769998,1.343784,0.126371,861496,55,1.099639,0.861690,0.076167,0.700228,biplataforma,0.727144
wastzera,CS2,False,28300,90,0.552655,0.306098,0.044507,105716,44,1.348464,0.914839,0.566297,0.409840,biplataforma,0.031519
